source,target
"30日間、棋晶石をお得に獲得できる買い切り型のパスです。

【価格】
・650円（税込）

【獲得奉納ポイント】
・37pt

【有効期間】
・購入日から30日間

【セット内容】
・購入時にすぐ獲得：有償棋晶石 325個
・毎日のログイン時：無償棋晶石 60個（30日間で合計1,800個）
・満額受取時の合計：棋晶石 2,125個

【追加購入について】
・有効期間中でも追加購入が可能です
・1回の購入で有効期間が30日加算されます
・追加購入は最大1年分まで可能です
・追加購入時もすぐに有償棋晶石325個を獲得します

※受け取り忘れた日の分は消滅します。
※棋晶石...縁結びを引いたり特定のアイテムを交換するなどに必要なゲーム内通貨です。","A one-time-purchase pass that gives you a better deal on Kisho Crystals for 30 days.

[Price]
650 yen (tax included)

[Prayer Points Earned]
37 pt

[Valid Period]
30 days from purchase

[Contents]
Immediately on purchase: 325 paid Kisho Crystals
Daily login: 60 free Kisho Crystals (1,800 total over 30 days)
Total if fully collected: 2,125 Kisho Crystals

[Additional Purchases]
You can purchase again while the pass is active
Each purchase adds 30 days
You can extend up to one year
Each additional purchase also immediately grants 325 paid Kisho Crystals

Unclaimed daily rewards are lost.
Kisho Crystals are in-game currency used for Bond Draws and certain item exchanges."
金矢倉,Gold Yagura
銀矢倉,Silver Yagura
片矢倉,Half Yagura
菊水矢倉,Kikusui Yagura
菱矢倉,Hishi Yagura
土居矢倉,Doi Yagura
総矢倉,Full Yagura
銀立ち矢倉,Standing Silver Yagura
矢倉穴熊,Yagura Anaguma
カブト囲い,Helmet Castle
右矢倉,Right Yagura
雁木囲い,Gangi Castle
居飛車穴熊,Static Rook Anaguma
居飛穴音無しの構え,Silent Static Rook Anaguma
松尾流穴熊,Matsuo Anaguma
銀冠穴熊,Silver Crown Anaguma
左美濃,Left Mino
天守閣美濃,Castle Tower Mino
カニ囲い,Crab Castle
早囲い,Quick Castle
中住まい,Central House
中原囲い,Nakahara Castle
elmo囲い,elmo Castle
美濃囲い,Mino Castle
片美濃囲い,Half Mino
高美濃囲い,High Mino
木村美濃,Kimura Mino
金美濃,Gold Mino
銀美濃,Silver Mino
ダイヤモンド美濃,Diamond Mino
ちょんまげ美濃,Topknot Mino
大山美濃,Oyama Mino
ずれ美濃,Offset Mino
坊主美濃,Monk Mino
升田美濃,Masuda Mino
プラチナ美濃,Platinum Mino
四枚美濃,Four-Piece Mino
美濃熊囲い,Mino Anaguma
振り飛車穴熊,Ranging Rook Anaguma
銀冠,Silver Crown
端玉銀冠,Edge King Silver Crown
金冠,Gold Crown
金盾囲い,Gold Shield Castle
金無双,Gold Peerless
アヒル囲い,Duck Castle
ALSOK囲い,ALSOK Castle
いちご囲い,Strawberry Castle
大隅囲い,Osumi Castle
空中楼閣,Castle in the Air
串カツ囲い,Kushikatsu Castle
裾固め,Hem Fortification
箱入り娘,Boxed-In Daughter
舟囲い,Boat Castle
ビッグ４,Big Four
ビッグ4,Big Four
ボナンザ囲い,Bonanza Castle
ミレニアム囲い,Millennium Castle
ミレニアム,Millennium
無敵囲い,Invincible Castle
早囲い(矢倉),Quick Yagura
金矢倉(矢倉囲い),Gold Yagura
串カツ囲い(2),Kushikatsu Castle
ミレニアム囲い(2),Millennium Castle
左美濃(2),Left Mino
左美濃(3)　※紐づけ戦法消す,Left Mino
銀冠(振り飛車),Silver Crown (Ranging Rook)
銀冠(居飛車),Silver Crown (Static Rook)
銀冠穴熊(振り飛車),Silver Crown Anaguma (Ranging Rook)
ビッグ4(振り飛車),Big Four (Ranging Rook)
美濃囲い(2),Mino Castle
木村美濃(2),Kimura Mino
金盾囲い　（※削除推奨）,Gold Shield Castle
居飛穴音無しの構え　（※削除推奨）,Silent Static Rook Anaguma
相掛かり,Double Wing Attack
相掛かり棒銀,Double Wing Climbing Silver
飯島流相掛かり引き角,Iijima Double Wing Retreating Bishop
中原流相掛かり,Nakahara Double Wing Attack
ひねり飛車,Twisting Rook
塚田スペシャル,Tsukada Special
UFO銀,UFO Silver
横歩取り,Side Pawn Picker
相横歩取り,Double Side Pawn Picker
青野流,Aono Style
８五飛車,８五 Rook
8五飛車,8五 Rook
４五角戦法,４五 Bishop Strategy
4五角戦法,4五 Bishop Strategy
勇気流,Yuki Style
竹部スペシャル,Takebe Special
２三歩戦法,２三 Pawn Strategy
2三歩戦法,2三 Pawn Strategy
３三角型空中戦法,３三 Bishop Aerial Strategy
3三角型空中戦法,3三 Bishop Aerial Strategy
３三桂戦法,３三 Knight Strategy
3三桂戦法,3三 Knight Strategy
角換わり,Bishop Exchange
角換わり腰掛け銀,Bishop Exchange Reclining Silver
角換わり棒銀,Bishop Exchange Climbing Silver
角換わり右玉,Bishop Exchange Right King
一手損角換わり,Tempo-Loss Bishop Exchange
木村定跡,Kimura Joseki
阿久津流急戦矢倉,Akutsu Rapid Yagura
中原流急戦矢倉,Nakahara Rapid Yagura
米長流急戦矢倉,Yonenaga Rapid Yagura
矢倉棒銀,Yagura Climbing Silver
脇システム,Waki System
森下システム,Morishita System
３七銀戦法,３七 Silver Strategy
3七銀戦法,3七 Silver Strategy
四手角,Four-Move Bishop
ウソ矢倉,Fake Yagura
左美濃急戦,Left Mino Rapid Attack
居角左美濃急戦,Unmoved Bishop Left Mino Rapid Attack
忍者銀,Ninja Silver
新型雁木,Modern Gangi
ツノ銀雁木,Horned Silver Gangi
対振り飛車持久戦,Slow Game vs Ranging Rook
飯島流引き角戦法,Iijima Retreating Bishop Strategy
引き角,Retreating Bishop
鷺宮定跡,Saginomiya Joseki
４六銀左急戦,４六 Left Silver Rapid Attack
4六銀左急戦,4六 Left Silver Rapid Attack
４六銀右急戦,４六 Right Silver Rapid Attack
4六銀右急戦,4六 Right Silver Rapid Attack
４五歩早仕掛け,４五 Pawn Quick Attack
4五歩早仕掛け,4五 Pawn Quick Attack
山田定跡,Yamada Joseki
エルモ急戦,elmo Rapid Attack
へなちょこ急戦,Henachoko Rapid Attack
玉頭位取り,King-Head Vanguard Pawn
５筋位取り,５th File Vanguard Pawn
5筋位取り,5th File Vanguard Pawn
6筋位取り,6th File Vanguard Pawn
５七金戦法,５七 Gold Strategy
5七金戦法,5七 Gold Strategy
超急戦,Ultra-Rapid Attack
超速,Super Speed
丸山ワクチン,Maruyama Vaccine
棒金,Climbing Gold
棒銀,Climbing Silver
原始棒銀,Primitive Climbing Silver
早繰り銀,Rapid Advancing Silver
右四間飛車,Right Fourth File Rook
右四間飛車急戦,Right Fourth File Rook Rapid Attack
右四間飛車左美濃,Right Fourth File Rook Left Mino
袖飛車,Sleeve Rook
羽生式袖飛車,Habu-Style Sleeve Rook
加藤流袖飛車,Kato-Style Sleeve Rook
中原飛車,Nakahara Rook
地下鉄飛車,Underground Rook
相掛かり腰掛け銀,Double Wing Reclining Silver
腰掛け銀,Reclining Silver
腰掛け金,Reclining Gold
雀刺し,Spearing the Sparrow
鳥刺し,Bird Spearing
鎖鎌銀,Kusarigama Silver
ポンポン桂,Popping Knights
新米長玉,New Yonenaga King
四間飛車,Fourth File Rook
角道オープン四間飛車,Open Bishop Path Fourth File Rook
藤井システム,Fujii System
はく式四間飛車,Haku-Style Fourth File Rook
魔界四間飛車,Demon World Fourth File Rook
耀龍四間飛車,Yoryu Fourth File Rook
立石流,Tateishi Style
錆刀戦法,Rusty Sword Strategy
レグスペ,Leg Special
三間飛車,Third File Rook
石田流,Ishida Style
石田流本組み,Ishida Main Formation
新石田流,New Ishida Style
早石田,Quick Ishida
升田式石田流,Masuda-Style Ishida
楠本式石田流,Kusumoto-Style Ishida
ムリヤリ早石田,Forced Quick Ishida
４→３戦法,４ to ３ Strategy
4→3戦法,4 to 3 Strategy
菅井流三間飛車,Sugai-Style Third File Rook
菅井流ゴキゲン三間飛車,Sugai Cheerful Third File Rook
トマホーク,Tomahawk
中田功ＸＰ,Isao Nakata XP
中田功XP,Isao Nakata XP
７八飛戦法,７八 Rook Strategy
7八飛戦法,7八 Rook Strategy
カナケンシステム,Kanaken System
かなけんシステム,Kanaken System
３ニ飛戦法,３ニ Rook Strategy
3二飛戦法,3二 Rook Strategy
つくつくぼうし戦法,Tsukutsukuboshi Strategy
真部流,Manabe Style
中飛車,Central Rook
ゴキゲン中飛車,Cheerful Central Rook
先手中飛車,Sente Central Rook
原始中飛車,Primitive Central Rook
ツノ銀中飛車,Horned Silver Central Rook
英ちゃん流中飛車,Ei-chan Central Rook
中飛車左穴熊,Central Rook Left Anaguma
遠山流,Toyama Style
矢倉中飛車,Yagura Central Rook
平目,Flounder
向飛車,Opposing Rook
ダイレクト向かい飛車,Direct Opposing Rook
鬼殺し向かい飛車,Demon Killer Opposing Rook
メリケン向かい飛車,American Opposing Rook
天彦流向かい飛車,Amahiko-Style Opposing Rook
菜々河流向かい飛車,Nanakawa-Style Opposing Rook
阪田流向飛車,Sakata-Style Opposing Rook
天彦流▲6六角,Amahiko-Style ▲6六 Bishop
菜々河流△4四角,Nanakawa-Style △4四 Bishop
相振り飛車,Double Ranging Rook
角交換振り飛車,Bishop Exchange Ranging Rook
陽動振り飛車,Feint Ranging Rook
振り飛車ミレニアム,Ranging Rook Millennium
一間飛車,First File Rook
一間飛車穴熊,First File Rook Anaguma
九間飛車,Ninth File Rook
Uターン飛車,U-Turn Rook
７二飛亜急戦,７二 Rook Semi-Rapid Attack
7二飛亜急戦,7二 Rook Semi-Rapid Attack
玉頭銀,King-Head Silver
右玉,Right King
糸谷流右玉,Itodani-Style Right King
こいなぎ流右玉,Koinagi-Style Right King
セカステ右玉,Second Stage Right King
高田流左玉,Takada-Style Left King
嬉野流,Ureshino Style
新嬉野流,New Ureshino Style
鬼殺し,Demon Killer
新鬼殺し,New Demon Killer
かまいたち戦法,Kamaitachi Strategy
筋違い角,Wrong-Diagonal Bishop
相筋違い角,Double Wrong-Diagonal Bishop
筋違い角阪田流,Sakata Wrong-Diagonal Bishop
稲庭戦法,Inaniwa Strategy
阪田流2手目△9四歩,Sakata-Style Move 2 △9四 Pawn
角頭歩戦法,Bishop-Head Pawn Strategy
5手爆弾,5-Move Bomb
目くらまし戦法,Blinding Strategy
暴銀,Rampaging Silver
風車,Windmill
きmきm金,Kim Kim Gold
カニカニ金,Crab-Crab Gold
カニカニ銀,Crab-Crab Silver
ゴリゴリ金,Grinding Gold
間宮久夢流,Mamiya Kyumu Style
金沢流,Kanazawa Style
都成流,Tonari Style
やばボーズ流,Yaba-Bozu Style
xaby角,xaby Bishop
GAVA角,GAVA Bishop
パックマン戦法,Pac-Man Strategy
カメレオン戦法,Chameleon Strategy
カリスマウィルス,Charisma Virus
ショーダンシステム,Shodan System
ハチワンシステム,81 System
メイドシステム,Maid System
村田システム,Murata System
ドラゴンスペシャル,Dragon Special
アユムスペシャル,Ayumu Special
工藤流陽動振り飛車,Kudo-Style Feint Ranging Rook
陽動振り飛車(向かい),Feint Ranging Rook (Opposing)
陽動振り飛車(三間)　※削除推奨,Feint Ranging Rook (Third File)
相振り飛車(中飛車),Double Ranging Rook (Central Rook)
ゴキゲン中飛車　※発動条件要検討,Cheerful Central Rook
米長流急戦矢倉(1),Yonenaga Rapid Yagura (1)
米長流急戦矢倉(2) ,Yonenaga Rapid Yagura (2)
相掛かり(旧),Double Wing Attack (Old)
相掛かり(2六飛),Double Wing Attack (2六 Rook)
相掛かり(2八飛),Double Wing Attack (2八 Rook)
相掛かり(新),Double Wing Attack (New)
(相掛かり)鎖鎌銀,Double Wing Kusarigama Silver
(相掛かり)腰掛け銀,Double Wing Reclining Silver
(横歩取り)8五飛車戦法,Side Pawn Picker 8五 Rook
中飛車 内部,Central Rook
中飛車左穴熊(1),Central Rook Left Anaguma (1)
5七金戦法(1),5七 Gold Strategy (1)
5七金戦法(2),5七 Gold Strategy (2)
藤井システム（対穴熊）,Fujii System vs Anaguma
立石流（※要検討）,Tateishi Style
ダイレクト向かい飛車　※優先判定要検討,Direct Opposing Rook
(居飛車党),Static Rook Player
(居飛車 宣言),Static Rook Declaration
陽動振り飛車(四間),Feint Ranging Rook (Fourth File)
陽動振り飛車(三間),Feint Ranging Rook (Third File)
相振り飛車(向かい飛車),Double Ranging Rook (Opposing Rook)
相振り飛車(三間飛車),Double Ranging Rook (Third File)
相振り飛車(四間飛車),Double Ranging Rook (Fourth File)
羽生式袖飛車　※初期段階では不要,Habu-Style Sleeve Rook
右四間飛車急戦　※発動条件要検討,Right Fourth File Rook Rapid Attack
都成流2,Tonari Style 2
左美濃急戦　※削除推奨,Left Mino Rapid Attack
左美濃急戦2　※削除推奨,Left Mino Rapid Attack 2
4六銀左急戦(1),4六 Left Silver Rapid Attack (1)
右銀急戦,Right Silver Rapid Attack
稲庭戦法2,Inaniwa Strategy 2
九間飛車2,Ninth File Rook 2
玉頭銀(前提),King-Head Silver (Prerequisite)
ひねり飛車(2),Twisting Rook (2)
対振り飛車持久戦(2),Slow Game vs Ranging Rook (2)
風車2　※削除推奨,Windmill 2
間宮久夢流（※削除推奨）,Mamiya Kyumu Style
新型雁木（※削除推奨）,Modern Gangi
ゴリゴリ金（※削除推奨）,Grinding Gold
Uターン飛車　※削除推奨,U-Turn Rook
中飛車左穴熊(2)　（※削除推奨）,Central Rook Left Anaguma (2)
4六銀左急戦(2),4六 Left Silver Rapid Attack (2)
目くらまし戦法　※削除推奨,Blinding Strategy
新嬉野流　※削除推奨,New Ureshino Style
はく式四間飛車　※削除推奨,Haku-Style Fourth File Rook
暴銀　※削除推奨,Rampaging Silver
金沢流(先手),Kanazawa Style (Sente)
金沢流(後手),Kanazawa Style (Gote)
GAVA角　※削除推奨,GAVA Bishop
ハチワンシステム（※削除推奨）,81 System
セカステ右玉　（※要検討）,Second Stage Right King
相筋違い角(2),Double Wrong-Diagonal Bishop (2)
相筋違い角(3),Double Wrong-Diagonal Bishop (3)
玉頭銀(2),King-Head Silver (2)
イデオンソード,Ideon Sword
ツノ銀型右玉,Horned Silver Right King
端棒銀,Edge Climbing Silver
力戦,Unorthodox Fight
居飛車,Static Rook
後手,Gote
振り飛車,Ranging Rook
アヒル戦法,Duck Strategy
9七桂,9七 Knight
相居飛車,Double Static Rook
金銀桂歩が左右対称に広がる姿が、羽を広げたアヒルに似ていることからこの名がつきました。低い陣形で飛車や角の打ち込む隙がなく、さばきを狙う独特の戦法で根強い人気がありますね。,"It is named for the way golds, silvers, knights, and pawns spread symmetrically like a duck opening its wings. The low formation gives the rook and bishop few places to drop and aims for smooth piece handling, making it a distinctive strategy with lasting popularity."
馬を囲いの一部として組み込んだ独特の形で、警備会社に因んだユニークな名前です。馬の利きが広範囲を守るため、通常の金銀だけの囲いとは異なる特性を持ちます。名前は現代的ですが、実戦で生まれた知恵が詰まった囲いです。,"This unusual castle incorporates a promoted bishop as part of the defense, and has a unique name inspired by a security company. The horse controls a wide area, giving it traits unlike castles made only from golds and silvers. It has a modern name, but it is full of practical wisdom born over the board."
玉がほぼ初期位置から動かず、周囲の金銀も初期配置に近い素朴な囲いです。......いちごが食べたくなってきました。,A simple castle where the king barely moves from its starting square and the surrounding golds and silvers stay close to their initial positions. ...Now I want strawberries.
居飛車穴熊の究極形とも言える、全ての駒を最大限に活用した陣形です。飛車・角・金銀すべてが理想的な位置に配置され、まさに「音無し」......静かなる完成形です。ここまで組み上げられれば、それはもう芸術と言えるでしょう。,"This formation could be called the ultimate Static Rook Anaguma, using every piece to its fullest. Rook, bishop, golds, and silvers all occupy ideal squares. It is truly silent, a quiet completed form. If you can build it this far, it is already art."
玉を端の最深部に配置する、対振り飛車の代表的な囲いです。圧倒的な堅さを誇り、多少の駒損でも囲いの力で押し切れることがあります。堅さへの絶対的な信頼......それが穴熊の強さの源です。,"A representative anti-Ranging Rook castle that places the king deep in the corner. Its hardness is overwhelming, and even some material loss can be overcome through the strength of the castle. Absolute trust in solidity is the source of Anaguma's power."
コンピュータ将棋ソフト「elmo」が対振り飛車で多用したことからこの名がつきました。少ない手数で組める上に、陣形バランスが非常に優秀です。現代将棋に大きな影響を与えた囲いのひとつですね。,"This castle was named after the computer shogi engine elmo, which used it often against Ranging Rook. It can be built in few moves and has excellent formation balance. It is one of the castles that strongly influenced modern shogi."
美濃囲いの変形で、やや独特な金銀の配置が特徴です。実戦で自然に現れることのある、素朴な形の囲いですね。,A Mino Castle variation with a somewhat unusual gold and silver placement. It is a modest shape that can appear naturally in practical games.
大山康晴十五世名人が好まれた美濃囲いの形で、独特の駒配置が特徴です。大山先生は銀冠を嫌い、受けの力を重視した低い構えを好まれました。......偉大な先人の知恵が詰まった囲いです。,"This is a Mino Castle shape favored by 15th Lifetime Meijin Yasuharu Oyama, with distinctive piece placement. Oyama disliked Silver Crown and preferred a low structure emphasizing defensive skill. It is a castle packed with the wisdom of a great predecessor."
美濃囲いの最も簡素な形で、金と銀と玉の三枚だけで構成されます。手数がほとんどかからないため、急戦志向の振り飛車で重宝します。ここから美濃囲い、高美濃へと発展させるのが基本ですね。,"The simplest form of Mino Castle, made from only three pieces: king, gold, and silver. It takes almost no moves to build, so it is useful for quick-attacking Ranging Rook. From here, developing into Mino and High Mino is the basic idea."
天野矢倉とも呼ばれる、金矢倉から玉の位置を一路ずらした形です。金矢倉より一手早く完成し、角打ちにも強いという利点があります。実戦では非常に有力で、私もよく採用する囲いのひとつです。,"Also called Amano Yagura, this shape shifts the king one file from Gold Yagura. It finishes one move faster than Gold Yagura and is resistant to bishop drops. It is very practical in real games and one of the castles I often use."
金二枚が横に並ぶ、矢倉の最も基本的な形です。カニのはさみのように見えることが名前の由来ですね。ここから金矢倉へと発展させていくのが基本の考え方になります。,"The most basic Yagura shape, with two golds lined up horizontally. Its name comes from how it resembles crab claws. The basic plan is to develop from here into Gold Yagura."
金銀が玉の上に兜のように被さる形の矢倉系囲いです。角換わりの将棋で自然に現れることがある実戦的な形で、上部からの攻めに対して堅い構えになります。,"A Yagura-style castle where golds and silvers cover the king like a helmet. It can appear naturally in Bishop Exchange games, and forms a practical structure that is solid against attacks from above."
銀二枚を横に並べて上部を守る、角道を開けたまま組める囲いです。一時はあまり指されなくなっていましたが、AI将棋の影響で劇的に再評価されました。時代と共に囲いの価値も変わる......将棋の奥深さを感じます。,"A castle that lines up two silvers horizontally to defend the upper area while keeping the bishop diagonal open. It fell out of favor for a while, but AI shogi caused a dramatic reevaluation. The value of castles changes with the times, showing shogi's depth."
大阪の偉人・楠木正成の家紋「菊水」にちなんで名付けられました。玉と銀の位置が通常の矢倉と異なる独特の配置です。歴史ある名前に恥じない、趣深い囲いですね。,"Named after the Kikusui crest of Osaka hero Masashige Kusunoki. The king and silver sit differently from standard Yagura, creating a unique placement. It is a tasteful castle worthy of its historic name."
初代実力制名人の木村義雄先生が好まれた形で、銀を中段の高い位置に配置します。攻めにも守りにも転用できる柔軟な銀の位置が特徴です。バランスを重視した、まさに名人の囲いと言えるでしょう。,"A shape favored by first Real-Strength Meijin Yoshio Kimura, placing the silver high in the middle ranks. The flexible silver can be used for both attack and defense. It is a balanced castle worthy of a Meijin."
銀冠の銀の代わりに金が王冠の位置に来る形です。金の守備力により上部が非常に堅くなりますが、金を上部に使う分、他の場所の守りが薄くなることもあります。,"A shape where gold takes the crown square instead of the Silver Crown silver. The gold's defensive power makes the upper area very solid, but using gold up high can thin the defense elsewhere."
金を盾のように前面に配置した囲いです。金の守備力を活かして正面からの攻めを受け止める、名前の通り力強い構えですね。,"A castle that places a gold in front like a shield. It uses the gold's defensive power to receive frontal attacks, making it a strong formation exactly as the name suggests."
美濃囲いの変形で、上部の守りを銀ではなく金が担う形です。金は銀より守備力が高いため玉頭方面の攻めに堅いですが、その分横の守りが手薄になることがあります。,"A Mino Castle variation where a gold, rather than a silver, handles the upper defense. Gold is more defensive than silver and is strong against king-head attacks, but the side defense can become thinner."
二枚の金を横に並べる、相振り飛車の古典的な囲いです。右銀が「壁銀」となってしまうことには注意が必要です。「無双」の名は二枚金が並んだ姿に由来するとされていますよ。,A classical Double Ranging Rook castle that lines two golds horizontally. Be careful that the right silver can become a wall silver. The Muso name is said to come from the sight of two golds lined up together.
「矢倉は将棋の純文学」......この言葉の通り、居飛車で最も格式高い囲いです。一手ずつ積み重ねる、その過程にこそ矢倉の美しさがあるのです。,"Yagura is often called the pure literature of shogi. As those words suggest, it is the most formal Static Rook castle. Its beauty lies in the process of building it one move at a time."
高美濃囲いからさらに銀を上に上げた形で、銀が王冠のように見えることが名前の由来です。上部の守りが大幅に改善され、振り飛車の理想形のひとつとされていますよ。,"A shape that raises the silver even higher from High Mino Castle, with the silver resembling a crown. Its upper defense improves greatly, and it is considered one of the ideal Ranging Rook forms."
銀冠の堅さと穴熊の深さを併せ持つ囲いです。穴熊の弱点である端攻めに対しても銀冠の形が補強してくれます。組み上がりに手数がかかりますが、完成すれば非常に心強い陣形になります。,"A castle combining the solidity of Silver Crown with the depth of Anaguma. The Silver Crown shape also reinforces Anaguma's weakness to edge attacks. It takes many moves to complete, but once finished it is extremely reassuring."
左銀が一段高い位置に立つ矢倉の変形です。現代ではあまり見かけませんが、当時の棋士の工夫が感じられる囲いです。,"A Yagura variation where the left silver stands one rank higher. It is rarely seen today, but you can feel the ingenuity of players from its era."
美濃囲いを銀主体で構成した簡素な形です。手数を節約できるため、金を攻めに回して速攻を目指す振り飛車で選択されます。,"A simple Mino Castle built mainly with silvers. It saves moves, so it is chosen in Ranging Rook plans that send the gold into attack and aim for speed."
金矢倉から金を一枚攻めに回し、代わりに銀で守る形です。攻撃力を高めたい局面で自然に生まれることが多いですね。金矢倉ほどの堅さはありませんが、攻守のバランスを攻め寄りに調整した実戦的な囲いです。,"A shape that sends one gold from Gold Yagura into attack and uses a silver for defense instead. It often appears naturally when more attacking power is needed. It is not as solid as Gold Yagura, but it adjusts the attack-defense balance toward offense."
玉を中段に浮かせた独特の囲いで、対振り飛車で使われることがあります。文字通り「空中の城」......幻想的な名前ですが、しっかりとした理論に裏打ちされた囲いです。,"A unique castle with the king floating in the middle ranks, sometimes used against Ranging Rook. Literally an aerial castle, it has a fanciful name but is supported by sound theory."
穴熊に似た形ですが、玉と香車の位置が逆になっています。香が玉を串刺しにしているように見えることが名前の由来です。通常の穴熊より一手早く組めて角道を避けられますが、端攻めには弱くなります。,"A shape similar to Anaguma, but with the king and lance positions reversed. The name comes from how the lance appears to skewer the king. It can be built one move faster than regular Anaguma and avoids the bishop diagonal, but it is weaker to edge attacks."
木村美濃から金が一路ずれた形が裾固めです。金が二つ横に並び、囲いの土台を固めているのが名前の由来ですね。横からの攻めに粘り強い形です。,"Susogatame is Kimura Mino with the gold shifted one file. Its name comes from the two golds lined up horizontally, firming up the base of the castle. It is tenacious against side attacks."
美濃囲いの金銀が通常の位置から一路ずれた形です。中央に厚く、通常の美濃とは微妙に異なる特性を持ちます。一路のずれが、局面全体に影響を及ぼすこともある。将棋の繊細さを感じる囲いです。,"A Mino Castle where the golds and silvers are shifted one file from their normal positions. It is thick in the center and has subtly different traits from standard Mino. A one-file shift can affect the whole position, showing shogi's delicacy."
金銀四枚すべてを囲いに投入した、矢倉系で最も堅固な形です。上部の守りは鉄壁ですが、攻め駒が不足してしまうのが難点です。使いどころを見極める判断力が問われます。,"The firmest Yagura-type shape, committing all four golds and silvers to the castle. The upper defense is ironclad, but the drawback is a shortage of attacking pieces. Knowing when to use it demands good judgment."
美濃囲いから金を一段上に上げた発展形で、上部からの攻めに対する耐性が向上します。美濃囲いからの自然な発展として、局面に応じて移行することが多い形ですね。,"An advanced form of Mino Castle that raises the gold one rank, improving resistance to attacks from above. It often appears as a natural development from Mino depending on the position."
美濃囲いに銀を一枚加えた四枚囲いで、金銀の配置がダイヤモンド型になることが名前の由来です。上部と横の両方に厚みがあり非常に堅いですが、攻め駒が薄くなるのは避けられませんね。,"A four-piece Mino Castle that adds one silver, with the golds and silvers forming a diamond shape. It is very solid both above and from the side, but thinning the attack pieces is unavoidable."
美濃囲いの上に歩が飛び出した形で、その姿がちょんまげに似ていることからこの名がつきました。主に陽動振り飛車と共に用いられます。名前も可愛らしいですよね。,"A Mino Castle with a pawn sticking out above it, named because the shape resembles a topknot. It is mainly used with Feint Ranging Rook. The name is cute too."
左美濃から玉を一段上に上げた形です。玉が高い位置にいるため、玉頭が弱点になります。名前の通り、天守閣のように高く構える囲いですね。,"A shape that raises the king one rank from Left Mino. Since the king sits high, the king's head becomes a weakness. As the name suggests, it is a castle built high like a keep."
金矢倉と比べて金と銀の位置が入れ替わっており、角打ちに強いという特徴があります。現代ではあまり見かけませんが、歴史を感じる趣のある囲いですね。,"Compared with Gold Yagura, the gold and silver positions are swapped, making it strong against bishop drops. It is not seen much today, but it has a historic charm."
玉を中央付近にとどめたまま戦う、最も簡素な陣形です。手数をほとんど使わないため急戦に対応しやすくバランスが良いことが特徴です。相掛かりや横歩取りなどで見られる形ですね。,"The simplest formation, fighting with the king held near the center. It uses almost no moves, making it easy to meet quick attacks and maintain balance. It appears in Double Wing Attack and Side Pawn Picker positions."
中原誠先生が好まれた、玉を深く囲わずに中間的な位置に置く陣形です。左右どちらにも逃げられる柔軟性が特徴で、「自然流」と呼ばれた中原先生の棋風そのものと言える形です。,"A formation favored by Makoto Nakahara, placing the king in an intermediate position without castling deeply. Its flexibility lets the king escape to either side, and it embodies Nakahara's Natural Style."
舟囲いの発展形で、玉がちょうど箱の中に収まっているような形をしています。なかなか愛らしい名前ですよね。舟囲いより堅く、急戦策を支える実戦的な囲いです。,An advanced Boat Castle where the king looks as if it fits neatly inside a box. The name is rather charming. It is more solid than Boat Castle and practical for supporting quick attacks.
天守閣美濃から玉を端まで移動させた形で、米長邦雄先生が愛用されたことから「米長玉」とも呼ばれます。玉に王手がかかりにくい形のため、終盤の寄せ合いで力を発揮します。,"A form that moves the king from Keep Mino all the way to the edge, also called Yonenaga King after Kunio Yonenaga, who used it often. Since the king is hard to check, it is powerful in late-game races."
通常の矢倉よりも手数を省略して素早く組み上げる囲いです。速度を重視する一方で、途中の隙を突かれる危険もあります。急がば回れ......とも言いますが、研究次第では有力な選択肢になり得ますね。,"A castle that builds Yagura faster by omitting some moves. It values speed, but there is risk if the opponent strikes during construction. Haste makes waste, but with study it can be a strong option."
金矢倉に右銀を加え、金銀がひし形に配置された厚い矢倉です。中央方面の守りが非常に厚く、角筋にも強い形になります。攻め駒が薄くなりますが、その分の堅さは確かなものです。,"A thick Yagura that adds the right silver to Gold Yagura, placing golds and silvers in a diamond. The center defense is very thick and strong against bishop lines. Attacking pieces become thin, but the solidity is real."
居飛車側が美濃囲いの形を左側に組む囲いです。横からの攻めに強く、対振り飛車の持久戦で有力な選択肢となります。穴熊と比べて手数が少なく、攻めとのバランスも取りやすい実戦的な囲いです。,A castle where the Static Rook side builds a Mino shape on the left. It is strong against side attacks and useful in slow games against Ranging Rook. Compared with Anaguma it takes fewer moves and balances more easily with attack.
金銀四枚で固めた居飛車穴熊の最終形態です。端攻めにも強く、囲いとしての弱点がほとんどありません。ただし、守りに四枚を費やすため攻め駒が大幅に不足します。......完璧な守りの代償は大きいですね。,"The final form of Static Rook Anaguma, fortified with all four golds and silvers. It is strong even against edge attacks and has almost no castle weaknesses. However, using four pieces for defense leaves the attack badly short. Perfect defense has a high price."
対振り飛車の基本的な囲いで、玉と金銀が舟のような形に並びます。手数がかからず素早く組めるため、急戦を仕掛ける際の土台となる囲いです。シンプルですが、ここから様々な囲いへ発展できます。,"The basic anti-Ranging Rook castle, with the king, golds, and silvers lined up like a boat. It takes few moves and forms the base for quick attacks. It is simple, but can develop into many other castles."
振り飛車側が採用する穴熊囲いです。玉を端の最深部まで移動させ、金銀で何重にも守ります。居飛車穴熊に比べるとやや組みにくいとされますが、その堅さは折り紙つきです。,"An Anaguma castle used by the Ranging Rook side. The king moves deep into the corner and is protected by layers of golds and silvers. It is considered harder to build than Static Rook Anaguma, but its solidity is unquestioned."
